Measure Name,Year,Period,Value
CPI - Consumer Price Index - Toronto (% Change),2009,Nov,0.0079
CPI - Consumer Price Index - Toronto (% Change),2009,Dec,0.008
CPI - Consumer Price Index - Toronto (% Change),2010,Jan,0.0178
CPI - Consumer Price Index - Toronto (% Change),2010,Feb,0.0168
CPI - Consumer Price Index - Toronto (% Change),2010,Mar,0.0132
CPI - Consumer Price Index - Toronto (% Change),2010,Apr,0.0239
CPI - Consumer Price Index - Toronto (% Change),2010,May,0.0211
CPI - Consumer Price Index - Toronto (% Change),2010,Jun,0.0184
CPI - Consumer Price Index - Toronto (% Change),2010,Jul,0.0308
CPI - Consumer Price Index - Toronto (% Change),2010,Aug,0.0308
CPI - Consumer Price Index - Toronto (% Change),2010,Sep,0.0317
CPI - Consumer Price Index - Toronto (% Change),2010,Oct,0.0325
CPI - Consumer Price Index - Toronto (% Change),2010,Nov,0.0297
CPI - Consumer Price Index - Toronto (% Change),2010,Dec,0.0325
CPI - Consumer Price Index - Toronto (% Change),2011,Jan,0.0262
CPI - Consumer Price Index - Toronto (% Change),2011,Feb,0.0243
CPI - Consumer Price Index - Toronto (% Change),2011,Mar,0.0356
CPI - Consumer Price Index - Toronto (% Change),2011,Apr,0.0345
CPI - Consumer Price Index - Toronto (% Change),2011,May,0.0387
CPI - Consumer Price Index - Toronto (% Change),2011,Jun,0.0353
CPI - Consumer Price Index - Toronto (% Change),2011,Jul,0.0282
CPI - Consumer Price Index - Toronto (% Change),2011,Aug,0.029
CPI - Consumer Price Index - Toronto (% Change),2011,Sep,0.0333
CPI - Consumer Price Index - Toronto (% Change),2011,Oct,0.0289
CPI - Consumer Price Index - Toronto (% Change),2011,Nov,0.0263
CPI - Consumer Price Index - Toronto (% Change),2011,Dec,0.0221
CPI - Consumer Price Index - Toronto (% Change),2012,Jan,0.0272
CPI - Consumer Price Index - Toronto (% Change),2012,Feb,0.0305
CPI - Consumer Price Index - Toronto (% Change),2012,Mar,0.0218
CPI - Consumer Price Index - Toronto (% Change),2012,Apr,0.0217
CPI - Consumer Price Index - Toronto (% Change),2012,May,0.0133
CPI - Consumer Price Index - Toronto (% Change),2012,Jun,0.0125
CPI - Consumer Price Index - Toronto (% Change),2012,Jul,0.01
CPI - Consumer Price Index - Toronto (% Change),2012,Aug,0.0108
CPI - Consumer Price Index - Toronto (% Change),2012,Sep,0.0074
CPI - Consumer Price Index - Toronto (% Change),2012,Oct,0.0099
CPI - Consumer Price Index - Toronto (% Change),2012,Nov,0.0091
CPI - Consumer Price Index - Toronto (% Change),2012,Dec,0.01
CPI - Consumer Price Index - Toronto (% Change),2013,Jan,0.0066
CPI - Consumer Price Index - Toronto (% Change),2013,Feb,0.0115
CPI - Consumer Price Index - Toronto (% Change),2013,Mar,0.0107
CPI - Consumer Price Index - Toronto (% Change),2013,Apr,0.0057
CPI - Consumer Price Index - Toronto (% Change),2013,May,0.0065
CPI - Consumer Price Index - Toronto (% Change),2013,Jun,0.014
CPI - Consumer Price Index - Toronto (% Change),2013,Jul,0.0165
CPI - Consumer Price Index - Toronto (% Change),2013,Aug,0.0156
CPI - Consumer Price Index - Toronto (% Change),2013,Sep,0.0139
CPI - Consumer Price Index - Toronto (% Change),2013,Oct,0.0115
CPI - Consumer Price Index - Toronto (% Change),2013,Nov,0.0131
CPI - Consumer Price Index - Toronto (% Change),2013,Dec,0.0165
CPI - Consumer Price Index - Toronto (% Change),2014,Jan,0.0181
CPI - Consumer Price Index - Toronto (% Change),2014,Feb,0.0171
CPI - Consumer Price Index - Toronto (% Change),2014,Mar,0.0178
CPI - Consumer Price Index - Toronto (% Change),2014,Apr,0.0268
CPI - Consumer Price Index - Toronto (% Change),2014,May,0.0308
CPI - Consumer Price Index - Toronto (% Change),2014,Jun,0.0324
CPI - Consumer Price Index - Toronto (% Change),2014,Jul,0.0267
CPI - Consumer Price Index - Toronto (% Change),2014,Aug,0.0259
CPI - Consumer Price Index - Toronto (% Change),2014,Sep,0.0275
CPI - Consumer Price Index - Toronto (% Change),2014,Oct,0.0299
CPI - Consumer Price Index - Toronto (% Change),2014,Nov,0.0267
CPI - Consumer Price Index - Toronto (% Change),2014,Dec,0.0227
CPI - Consumer Price Index - Toronto (% Change),2015,Jan,0.021
CPI - Consumer Price Index - Toronto (% Change),2015,Feb,0.0176
CPI - Consumer Price Index - Toronto (% Change),2015,Mar,0.0191
CPI - Consumer Price Index - Toronto (% Change),2015,Apr,0.0103
CPI - Consumer Price Index - Toronto (% Change),2015,May,0.0118
CPI - Consumer Price Index - Toronto (% Change),2015,Jun,0.011
CPI - Consumer Price Index - Toronto (% Change),2015,Jul,0.0181
CPI - Consumer Price Index - Toronto (% Change),2015,Aug,0.0142
CPI - Consumer Price Index - Toronto (% Change),2015,Sep,0.0142
CPI - Consumer Price Index - Toronto (% Change),2015,Oct,0.0126
CPI - Consumer Price Index - Toronto (% Change),2015,Nov,0.0173
CPI - Consumer Price Index - Toronto (% Change),2015,Dec,0.0198
CPI - Consumer Price Index - Toronto (% Change),2016,Jan,0.0214
CPI - Consumer Price Index - Toronto (% Change),2016,Feb,0.0173
CPI - Consumer Price Index - Toronto (% Change),2016,Mar,0.0188
CPI - Consumer Price Index - Toronto (% Change),2016,Apr,0.0235
CPI - Consumer Price Index - Toronto (% Change),2016,May,0.021
CPI - Consumer Price Index - Toronto (% Change),2016,Jun,0.021
CPI - Consumer Price Index - Toronto (% Change),2016,Jul,0.017
CPI - Consumer Price Index - Toronto (% Change),2016,Aug,0.0187
CPI - Consumer Price Index - Toronto (% Change),2016,Sep,0.0209
CPI - Consumer Price Index - Toronto (% Change),2016,Oct,0.0233
CPI - Consumer Price Index - Toronto (% Change),2016,Nov,0.0201
CPI - Consumer Price Index - Toronto (% Change),2016,Dec,0.0218
CPI - Consumer Price Index - Toronto (% Change),2017,Jan,0.024
CPI - Consumer Price Index - Toronto (% Change),2017,Feb,0.024
CPI - Consumer Price Index - Toronto (% Change),2017,Mar,0.0207
CPI - Consumer Price Index - Toronto (% Change),2017,Apr,0.0222
CPI - Consumer Price Index - Toronto (% Change),2017,May,0.0191
CPI - Consumer Price Index - Toronto (% Change),2017,Jun,0.0205
CPI - Consumer Price Index - Toronto (% Change),2017,Jul,0.0198
CPI - Consumer Price Index - Toronto (% Change),2017,Aug,0.0206
CPI - Consumer Price Index - Toronto (% Change),2017,Sep,0.0205
CPI - Consumer Price Index - Toronto (% Change),2017,Oct,0.0174
CPI - Consumer Price Index - Toronto (% Change),2017,Nov,0.022
CPI - Consumer Price Index - Toronto (% Change),2017,Dec,0.019
CPI - Consumer Price Index - Toronto (% Change),2018,Jan,0.0242
CPI - Consumer Price Index - Toronto (% Change),2018,Feb,0.0264
CPI - Consumer Price Index - Toronto (% Change),2018,Mar,0.0278
CPI - Consumer Price Index - Toronto (% Change),2018,Apr,0.024
CPI - Consumer Price Index - Toronto (% Change),2018,May,0.0224
CPI - Consumer Price Index - Toronto (% Change),2018,Jun,0.0246
CPI - Consumer Price Index - Toronto (% Change),2018,Jul,0.0299
CPI - Consumer Price Index - Toronto (% Change),2018,Aug,0.0306
CPI - Consumer Price Index - Toronto (% Change),2018,Sep,0.0223
CPI - Consumer Price Index - Toronto (% Change),2018,Oct,0.0268
CPI - Consumer Price Index - Toronto (% Change),2018,Nov,0.0208
CPI - Consumer Price Index - Toronto (% Change),2018,Dec,0.0261
CPI - Consumer Price Index - Toronto (% Change),2019,Jan,0.0177
CPI - Consumer Price Index - Toronto (% Change),2019,Feb,0.0191
CPI - Consumer Price Index - Toronto (% Change),2019,Mar,0.0205
CPI - Consumer Price Index - Toronto (% Change),2019,Apr,0.0219
CPI - Consumer Price Index - Toronto (% Change),2019,May,0.0263
CPI - Consumer Price Index - Toronto (% Change),2019,Jun,0.0204
CPI - Consumer Price Index - Toronto (% Change),2019,Jul,0.0232
CPI - Consumer Price Index - Toronto (% Change),2019,Aug,0.0218
CPI - Consumer Price Index - Toronto (% Change),2019,Sep,0.0167
CPI - Consumer Price Index - Toronto (% Change),2019,Oct,0.0174
CPI - Consumer Price Index - Toronto (% Change),2019,Nov,0.0182
CPI - Consumer Price Index - Toronto (% Change),2019,Dec,0.0189
CPI - Consumer Price Index - Toronto (% Change),2020,Jan,0.016
CPI - Consumer Price Index - Toronto (% Change),2020,Feb,0.0137
CPI - Consumer Price Index - Toronto (% Change),2020,Mar,0.0043
CPI - Consumer Price Index - Toronto (% Change),2020,Apr,0
CPI - Consumer Price Index - Toronto (% Change),2020,May,-0.0043
CPI - Consumer Price Index - Toronto (% Change),2020,Jun,0.0029
TTC Average Weekday Ridership,2007,Jan,1400000
TTC Average Weekday Ridership,2007,Feb,1486000
TTC Average Weekday Ridership,2007,Mar,1485000
TTC Average Weekday Ridership,2007,Apr,1491000
TTC Average Weekday Ridership,2007,May,1474000
TTC Average Weekday Ridership,2007,Jun,1473000
TTC Average Weekday Ridership,2007,Jul,1391000
TTC Average Weekday Ridership,2007,Aug,1356000
TTC Average Weekday Ridership,2007,Sep,1549000
TTC Average Weekday Ridership,2007,Oct,1531000
TTC Average Weekday Ridership,2007,Nov,1538000
TTC Average Weekday Ridership,2007,Dec,1396000
TTC Average Weekday Ridership,2008,Jan,1379000
TTC Average Weekday Ridership,2008,Feb,1476000
TTC Average Weekday Ridership,2008,Mar,1519000
TTC Average Weekday Ridership,2008,Apr,1446000
TTC Average Weekday Ridership,2008,May,1479000
TTC Average Weekday Ridership,2008,Jun,1459000
TTC Average Weekday Ridership,2008,Jul,1444000
TTC Average Weekday Ridership,2008,Aug,1434000
TTC Average Weekday Ridership,2008,Sep,1574000
TTC Average Weekday Ridership,2008,Oct,1520000
TTC Average Weekday Ridership,2008,Nov,1600000
TTC Average Weekday Ridership,2008,Dec,1484000
TTC Average Weekday Ridership,2009,Jan,1448000
TTC Average Weekday Ridership,2009,Feb,1536000
TTC Average Weekday Ridership,2009,Mar,1487000
TTC Average Weekday Ridership,2009,Apr,1499000
TTC Average Weekday Ridership,2009,May,1517000
TTC Average Weekday Ridership,2009,Jun,1467000
TTC Average Weekday Ridership,2009,Jul,1435000
TTC Average Weekday Ridership,2009,Aug,1328000
TTC Average Weekday Ridership,2009,Sep,1586000
TTC Average Weekday Ridership,2009,Oct,1578000
TTC Average Weekday Ridership,2009,Nov,1568000
TTC Average Weekday Ridership,2009,Dec,1424000
TTC Average Weekday Ridership,2010,Jan,1474000
TTC Average Weekday Ridership,2010,Feb,1538000
TTC Average Weekday Ridership,2010,Mar,1489000
TTC Average Weekday Ridership,2010,Apr,1500000
TTC Average Weekday Ridership,2010,May,1530000
TTC Average Weekday Ridership,2010,Jun,1492000
TTC Average Weekday Ridership,2010,Jul,1473000
TTC Average Weekday Ridership,2010,Aug,1412000
TTC Average Weekday Ridership,2010,Sep,1615000
TTC Average Weekday Ridership,2010,Oct,1622000
TTC Average Weekday Ridership,2010,Nov,1541000
TTC Average Weekday Ridership,2010,Dec,1457000
TTC Average Weekday Ridership,2011,Jan,1540000
TTC Average Weekday Ridership,2011,Feb,1595000
TTC Average Weekday Ridership,2011,Mar,1568000
TTC Average Weekday Ridership,2011,Apr,1539000
TTC Average Weekday Ridership,2011,May,1602000
TTC Average Weekday Ridership,2011,Jun,1579000
TTC Average Weekday Ridership,2011,Jul,1528000
TTC Average Weekday Ridership,2011,Aug,1449000
TTC Average Weekday Ridership,2011,Sep,1689000
TTC Average Weekday Ridership,2011,Oct,1678000
TTC Average Weekday Ridership,2011,Nov,1639000
TTC Average Weekday Ridership,2011,Dec,1583000
TTC Average Weekday Ridership,2012,Jan,1599000
TTC Average Weekday Ridership,2012,Feb,1643000
TTC Average Weekday Ridership,2012,Mar,1613000
TTC Average Weekday Ridership,2012,Apr,1614000
TTC Average Weekday Ridership,2012,May,1609000
TTC Average Weekday Ridership,2012,Jun,1627000
TTC Average Weekday Ridership,2012,Jul,1528000
TTC Average Weekday Ridership,2012,Aug,1515000
TTC Average Weekday Ridership,2012,Sep,1727000
TTC Average Weekday Ridership,2012,Oct,1712000
TTC Average Weekday Ridership,2012,Nov,1716000
TTC Average Weekday Ridership,2012,Dec,1655000
TTC Average Weekday Ridership,2013,Jan,1606000
TTC Average Weekday Ridership,2013,Feb,1702000
TTC Average Weekday Ridership,2013,Mar,1672000
TTC Average Weekday Ridership,2013,Apr,1650000
TTC Average Weekday Ridership,2013,May,1661000
TTC Average Weekday Ridership,2013,Jun,1670000
TTC Average Weekday Ridership,2013,Jul,1564000
TTC Average Weekday Ridership,2013,Aug,1562000
TTC Average Weekday Ridership,2013,Sep,1743000
TTC Average Weekday Ridership,2013,Oct,1760000
TTC Average Weekday Ridership,2013,Nov,1751000
TTC Average Weekday Ridership,2013,Dec,1567000
TTC Average Weekday Ridership,2014,Jan,1651000
TTC Average Weekday Ridership,2014,Feb,1734000
TTC Average Weekday Ridership,2014,Mar,1665000
TTC Average Weekday Ridership,2014,Apr,1682000
TTC Average Weekday Ridership,2014,May,1700000
TTC Average Weekday Ridership,2014,Jun,1650000
TTC Average Weekday Ridership,2014,Jul,1603000
TTC Average Weekday Ridership,2014,Aug,1582000
TTC Average Weekday Ridership,2014,Sep,1739000
TTC Average Weekday Ridership,2014,Oct,1816000
TTC Average Weekday Ridership,2014,Nov,1831000
TTC Average Weekday Ridership,2014,Dec,1589000
TTC Average Weekday Ridership,2015,Jan,1697000
TTC Average Weekday Ridership,2015,Feb,1739000
TTC Average Weekday Ridership,2015,Mar,1689000
TTC Average Weekday Ridership,2015,Apr,1711000
TTC Average Weekday Ridership,2015,May,1722000
TTC Average Weekday Ridership,2015,Jun,1640000
TTC Average Weekday Ridership,2015,Jul,1594000
TTC Average Weekday Ridership,2015,Aug,1566000
TTC Average Weekday Ridership,2015,Sep,1717000
TTC Average Weekday Ridership,2015,Oct,1794000
TTC Average Weekday Ridership,2015,Nov,1784000
TTC Average Weekday Ridership,2015,Dec,1614000
TTC Average Weekday Ridership,2016,Jan,1695000
TTC Average Weekday Ridership,2016,Feb,1675000
TTC Average Weekday Ridership,2016,Mar,1675000
TTC Average Weekday Ridership,2016,Apr,1736000
TTC Average Weekday Ridership,2016,May,1697000
TTC Average Weekday Ridership,2016,Jun,1675000
TTC Average Weekday Ridership,2016,Jul,1653000
TTC Average Weekday Ridership,2016,Aug,1556000
TTC Average Weekday Ridership,2016,Sep,1742000
TTC Average Weekday Ridership,2016,Oct,1788000
TTC Average Weekday Ridership,2016,Nov,1780000
TTC Average Weekday Ridership,2016,Dec,1607000
TTC Average Weekday Ridership,2017,Jan,1653000
TTC Average Weekday Ridership,2017,Feb,1710000
TTC Average Weekday Ridership,2017,Mar,1685000
TTC Average Weekday Ridership,2017,Apr,1737000
TTC Average Weekday Ridership,2017,May,1686000
TTC Average Weekday Ridership,2017,Jun,1698000
TTC Average Weekday Ridership,2017,Jul,1656000
TTC Average Weekday Ridership,2017,Aug,1572000
TTC Average Weekday Ridership,2017,Sep,1753000
TTC Average Weekday Ridership,2017,Oct,1759000
TTC Average Weekday Ridership,2017,Nov,1753000
TTC Average Weekday Ridership,2017,Dec,1604000
TTC Average Weekday Ridership,2018,Jan,1608000
TTC Average Weekday Ridership,2018,Feb,1731000
TTC Average Weekday Ridership,2018,Mar,1700000
TTC Average Weekday Ridership,2018,Apr,1689000
TTC Average Weekday Ridership,2018,May,1679000
TTC Average Weekday Ridership,2018,Jun,1710000
TTC Average Weekday Ridership,2018,Jul,1595000
TTC Average Weekday Ridership,2018,Aug,1530000
TTC Average Weekday Ridership,2018,Sep,1754000
TTC Average Weekday Ridership,2018,Oct,1682000
TTC Average Weekday Ridership,2018,Nov,1705000
TTC Average Weekday Ridership,2018,Dec,1544000
TTC Average Weekday Ridership,2019,Jan,1625000
TTC Average Weekday Ridership,2019,Feb,1670000
TTC Average Weekday Ridership,2019,Mar,1725000
TTC Average Weekday Ridership,2019,Apr,1681000
TTC Average Weekday Ridership,2019,May,1683000
TTC Average Weekday Ridership,2019,Jun,1725000
TTC Average Weekday Ridership,2019,Jul,1627000
TTC Average Weekday Ridership,2019,Aug,1596000
TTC Average Weekday Ridership,2019,Sep,1798000
TTC Average Weekday Ridership,2019,Oct,1778000
TTC Average Weekday Ridership,2019,Nov,1807000
TTC Average Weekday Ridership,2019,Dec,1587000
TTC Average Weekday Ridership,2020,Jan,1670000
TTC Average Weekday Ridership,2020,Feb,1726000
TTC Average Weekday Ridership,2020,Mar,1182000
TTC Average Weekday Ridership,2020,Apr,255000
TTC Average Weekday Ridership,2020,May,263000
TTC Average Weekday Ridership,2020,Jun,345000
